frequency,damping
0.0,-93.68958366217072
0.5,-40.41016873907849
1.0,-36.839213137534834
5.0,-22.098168678711847
10.0,-17.469014653410124
15.0,-15.33847825615133
20.0,-14.241084625108986
25.0,-13.415057388274747
30.0,-12.794605643633803
35.0,-12.401278615086177
40.0,-12.102292364407477
45.0,-11.887596455138251
50.0,-11.69853422434048
55.0,-11.560236824947566
60.0,-11.450873898467954
65.0,-11.35809433501815
70.0,-11.2928231373112
75.0,-11.226841321251388
80.0,-11.188413331805606
85.0,-11.150251420371086
90.0,-11.121480197962912
95.0,-11.093976046309926
100.0,-11.083285150051738
105.0,-11.073402922968823
110.0,-11.06627664574263
115.0,-11.057715722133214
120.0,-11.061436624629192
125.0,-11.066471345469623
130.0,-11.061729858414036
200.0,-11.286364982124706
235.0,-11.725142497066814
300.0,-11.843639135605539
400.0,-12.457906008427571
500.0,-13.056663954750755
600.0,-13.661152911982473
700.0,-14.197744115161868
800.0,-16.604605953874206
900.0,-16.493645322528202
1000.0,-16.58952927476421
10000.0,-35.034590056243516
25000.0,-40.85520122186672
